id;start_date;end_date;language
1;2020-11-28T05:59:48;2020-11-28T03:50:03;SPANISH
2;2020-11-27T10:49:59;2020-11-28T05:54:24;SPANISH
3;2020-11-28T01:45:18;2020-11-27T12:19:27;FRENCH
4;2020-11-27T17:02:49;2020-11-28T04:34:15;FRENCH
5;2020-11-28T02:33:07;2020-11-28T07:20:06;FRENCH
6;2020-11-27T20:25:28;2020-11-28T08:33:42;FRENCH
7;2020-11-27T22:10:48;2020-11-27T16:01:39;FRENCH
8;2020-11-27T21:07:01;2020-11-28T07:23:09;SPANISH
9;2020-11-27T19:48:10;2020-11-27T16:29:33;SPANISH
10;2020-11-28T04:00:14;2020-11-27T14:34:44;SPANISH
