id;name;description;unit_cost;quantity
1;Ergonomic Frozen;Unbranded Cotton Pizza Buckinghamshire;45331;93177
2;salmon Shirt;redefine;97619;74176
3;Focused multi-byte;Rustic Savings Account pixel;5370;88070
4;Expressway Pizza Lead;Seychelles Rupee Berkshire;38383;26899
5;Soap Isle of Man service-desk;Fantastic;77262;28832
6;online;feed neural Credit Card Account;38262;59768
7;Credit Card Account Rubber;convergence national Minnesota;55559;69825
8;Unbranded Cheese;Metal Intelligent Automotive;51114;8491
9;engage USB solid state;Orchestrator Officer connecting;87186;31963
10;Car IB;purple Music strategize;32699;19712
